,,,1
11/19/2015,12,PM,1
12/4/2015,1,PM,1
12/6/2015,7,PM,1
12/7/2015,9,AM,1
12/7/2015,4,PM,1
12/7/2015,5,PM,1
12/7/2015,6,PM,1
12/8/2015,1,PM,1
12/8/2015,10,PM,47
12/8/2015,11,PM,101
12/8/2015,12,PM,1
12/8/2015,2,PM,1
12/8/2015,3,PM,3
12/8/2015,4,PM,1
12/8/2015,5,PM,2
12/8/2015,6,PM,11
12/8/2015,7,PM,16
12/8/2015,8,PM,24
12/8/2015,9,PM,31
12/9/2015,1,AM,12
12/9/2015,10,AM,151
12/9/2015,11,AM,159
12/9/2015,12,AM,78
12/9/2015,2,AM,2
12/9/2015,3,AM,2
12/9/2015,4,AM,1
12/9/2015,5,AM,4
12/9/2015,6,AM,8
12/9/2015,7,AM,21
12/9/2015,8,AM,63
12/9/2015,9,AM,96
12/9/2015,1,PM,204
12/9/2015,10,PM,186
12/9/2015,11,PM,154
12/9/2015,12,PM,224
12/9/2015,2,PM,231
12/9/2015,3,PM,227
12/9/2015,4,PM,245
12/9/2015,5,PM,199
12/9/2015,6,PM,234
12/9/2015,7,PM,246
12/9/2015,8,PM,226
12/9/2015,9,PM,214
12/9/2015 20:26,12/9/2015 20:26,12/9/2015 20:26,1
